"Bulk Edit Items"
"Item Code","Item Name","Item Revision Number","Item operation","Assembly Location","Manufacturing Stage","Do Not Explode","BOM No","Source Warehouse","Allow Alternative Item","Manufacturer","Manufacturer Part Number","Device Marking","Item Description","Item Revision No","Image","Qty","UOM","Stock Qty","Stock UOM","Conversion Factor","Rate","Basic Rate (Company Currency)","Amount","Amount (Company Currency)","Scrap %","Qty Consumed Per Unit","Has Variants","Include Item In Manufacturing","Original Item","Sourced by Supplier","BOM Item Type"
"item_code","item_name","item_revision_number","operation","assembly_location","manufacturing_stage","do_not_explode","bom_no","source_warehouse","allow_alternative_item","manufacturer","manufacturer_part_number","device_marking","description","item_revision_no","image","qty","uom","stock_qty","stock_uom","conversion_factor","rate","base_rate","amount","base_amount","scrap","qty_consumed_per_unit","has_variants","include_item_in_manufacturing","original_item","sourced_by_supplier","bom_item_type"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"F240026162 A","F240026162 A","NA","SMD-CS","4R1 8R1","","","","Stores - KT-01","","PANASONIC
VISHAY
WALSIN
YAGEO
KOA
","ERJ3EKF1001V
CRCW06031K00FKEA
MR06X1001FTLV
RC0603FR-071KL
RK73H1JTTD1001F
","","RES SMD 1K OHM 1% 1/10W 0603","NA","",2,"Nos",2,"Nos",1,0.07842235,0.07842235,0.16,0.16,"",2,"",1,"","","II"
"F010026975 B","F010026975 B","NA","SMD-CS","3R0062 7R0062","","","","Stores - KT-01","","KOA
VISHAY
YAGEO
WALSIN
","RK73B1ETTP102J
CRCW04021K00JNED
RC0402JR-071KL
MR04X102JTLV
","","RES SMD RC 1K 5% 63mW TF 0402","NA","",2,"Nos",2,"Nos",1,0.03,0.03,0.06,0.06,"",2,"",1,"","","II"
"F010025923 B","F010025923 B","NA","SMD-CS","3R0010 7R0010","","","","Stores - KT-01","","KOA
VISHAY
WALSIN
YAGEO
","RK73B1JTTD222J
CRCW06032K20JNEA
MR06X222JTLV
RC0603JR-072K2L
","","RES SMD 2.2K OHM 5% 1/10W 0603","NA","",2,"Nos",2,"Nos",1,0.09987732,0.09987732,0.2,0.2,"",2,"",1,"","","II"
"F010038921 B","F010038921 B","NA","SMD-CS","3R0023 7R0023","","","","Stores - KT-01","","KOA
VISHAY
YAGEO
WALSIN
","RK73H1ETTP2002F
CRCW040220K0FKED
RC0402FR-0720KL
MR04X2002FTLV
","","RES SMD Thick Film 20K OHM 1% 1/16W 0402","NA","",2,"Nos",2,"Nos",1,0.062979888,0.062979888,0.12,0.12,"",2,"",1,"","","II"
"F010033593 B","F010033593 B","NA","SMD-CS","3R0059 3R0060 7R0059 7R0060","","","","Stores - KT-01","","ASJ
KOA
VISHAY
WALSIN
YAGEO
","CR21-22R0-FL
RK73H2ATTD22R0F
CRCW080522R0FKEA
MR08X22R0FTLV
RC0805FR-0722RL
","","RES SMD 22 OHM 1% 1/4W 0805","NA","",4,"Nos",4,"Nos",1,0.093996764,0.093996764,0.36,0.36,"",4,"",1,"","","II"
"F090026507 D","F090026507 D","NA","SMD-CS","3R0022 7R0022","","","","Stores - KT-01","","KOA
PANASONIC
VISHAY
WALSIN
YAGEO
","RK73B2BTTD202J
ERJ8GEYJ202V
CRCW12062K00JNEA
MR12X202JTLV
AC1206JR-072KL
","","RES SMD 2K OHM 5% 1/4W 1206","NA","",2,"Nos",2,"Nos",1,0.773558106,0.773558106,1.54,1.54,"",2,"",1,"","","II"
"F010071266 B","F010071266 B","NA","SMD-CS","3R0001 3R0002 3R0115 7R0001 7R0002 7R0115","","","","Stores - KT-01","","KOA
VISHAY
WALSIN
YAGEO
","RK73B1ETTP330J
CRCW040233R0JNED
MR04X330JTLV
RC0402JR-0733RL
","","RES SMD 33 OHM 5% 1/10W 0402","NA","",6,"Nos",6,"Nos",1,0.349049005,0.349049005,2.1,2.1,"",6,"",1,"","","II"
"F010025926 B","F010025926 B","NA","SMD-CS","3R1 3R2 7R1 7R2","","","","Stores - KT-01","","KOA
VISHAY
WALSIN
YAGEO
","RK73B1JTTD472J
CRCW06034K70JNEA
MR06X472JTLV
RC0603JR-074K7L
","","RES SMD THICKFILM 4.7K 5% 0.1W 100PPM/C 0603","NA","",4,"Nos",4,"Nos",1,0.164505929,0.164505929,0.64,0.64,"",4,"",1,"","","II"
"F220026499 A","F220026499 A","NA","SMD-CS","3R0063 7R0063","","","","Stores - KT-01","","KOA
PANASONIC
VISHAY
WALSIN
YAGEO
","RK73B2BTTD472J
ERJ8GEYJ472V
CRCW12064K70JNEA
MR12X472JTLV
RC1206JR-074K7L
","","RES SMD 4.7K OHM 5% 1/4W 1206","NA","",2,"Nos",2,"Nos",1,0.785357591,0.785357591,1.58,1.58,"",2,"",1,"","","II"
"F160026978 A","F160026978 A","NA","SMD-CS","4R2 8R2","","","","Stores - KT-01","","KOA
PANASONIC
VISHAY
WALSIN
YAGEO
","RK73B1ETTP103J
ERJ2GEJ103X
CRCW040210K0JNED
MR04X103JTLV
RC0402JR-0710KL
","","RES 10K 5% 100mW TF 200ppm 0402","NA","",2,"Nos",2,"Nos",1,0.049414657,0.049414657,0.1,0.1,"",2,"",1,"","","II"
"F010479391 F","F010479391 F","NA","SMD-CS","4Q1 8Q1","","","","Stores - KT-01","","ON SEMI
NEXPERIA
","SBC847CWT1G
934663674115_/_ BC847CW-Q
","","TRAN NPN 45V 100mA BC847CW SOT323","NA","",2,"Nos",2,"Nos",1,1.829099196,1.829099196,3.66,3.66,"",2,"",1,"","","II"
"F010477413 B","F010477413 B","NA","SMD-CS","3Q0001 3Q0002 7Q0001 7Q0002","","","","Stores - KT-01","","NEXPERIA
ON SEMI
","934663686115_/_ BCP56-16-Q
SBCP56-16T1G
","","TRAN NPN 80V 1A BCP56-16 SOT223","NA","",4,"Nos",4,"Nos",1,8.347064168,8.347064168,33.4,33.4,"",4,"",1,"","","II"
"F080020992 C","F080020992 C","NA","SMD-CS","3Q0007 7Q0007","","","","Stores - KT-01","","NEXPERIA
NEXPERIA
ON SEMI
","934663628215
BC846B-Q
SBC846BLT1G
","","TRANS SMD NPN 65V 0.1A SOT23-3","NA","",2,"Nos",2,"Nos",1,2.492553191,2.492553191,4.98,4.98,"",2,"",1,"","","II"
"F010020933 C","F010020933 C","NA","SMD-CS","3Q0008 3Q1 7Q0008 7Q1","","","","Stores - KT-01","","NEXPERIA
NEXPERIA
ON SEMI
ROHM SEMI
","934664829115
BC857CW-QX
NSVBC857CWT1G
2SA1576A-T106S
","","TRANS SMD PNP 45V 0.1A SC70-3","NA","",4,"Nos",4,"Nos",1,3.094204871,3.094204871,12.36,12.36,"",4,"",1,"","","II"
"F090065296 A","F090065296 A","NA","SMD-CS","3U0001 7U0001","","","","Stores - KT-01","","ON SEMI
TEXAS
","SCV431BSN1T1G
TLV431BQDBZRQ1
","","IC SMD VREG ADJ 1% 20mA TLV431A SOT23","NA","",2,"Nos",2,"Nos",1,18.5,18.5,37,37,"",2,"",1,"","","II"
